name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,,planet_type,temp_planet_date,temp_planet_mass,planet_radius,orbital_radius,orbital_period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rowupdate
BD-13 2130 b,3095,9.78 Jupiters,9.45,2007,,Gas Giant,2007,9.78 Jupiters,1.11 x Jupiter,1.66 AU,2 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-08-2015
BD+14 4559 b,161,1.04 Jupiters,9.63,2009,,Gas Giant,2009,1.04 Jupiters,1.23 x Jupiter,0.78 AU,268.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-02-2018
BD+15 2375 b,2525,1.061 Jupiters,10.31,2016,,Gas Giant,2016,1.061 Jupiters,1.23 x Jupiter,0.576 AU,153.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05-02-2015
BD+15 2940 b,1408,1.11 Jupiters,9.046,2013,,Gas Giant,2013,1.11 Jupiters,1.23 x Jupiter,0.539 AU,137.5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
BD-17 63 b,113,5.1 Jupiters,9.566,2008,,Gas Giant,2008,5.1 Jupiters,1.15 x Jupiter,1.34 AU,1.8 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
BD+20 2457 b,5450,55.59 Jupiters,9.75,2009,,Gas Giant,2009,55.59 Jupiters,1.03 x Jupiter,1.05 AU,379.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06-09-2018
BD+20 2457 c,5450,12.47 Jupiters,9.75,2009,,Gas Giant,2009,12.47 Jupiters,1.1 x Jupiter,2.01 AU,1.7 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
BD+20 274 b,4514,4.2 Jupiters,9.36,2012,,Gas Giant,2012,4.2 Jupiters,1.16 x Jupiter,1.3 AU,1.6 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06-09-2018
BD+20 594 b,588,22.2481 Earths,11.038,2016,,Neptune-like,2016,22.2481 Earths,0.23 x Jupiter,0.241 AU,41.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23-07-2020
BD+48 738 b,2910,0.91 Jupiters,9.14,2011,,Gas Giant,2011,0.91 Jupiters,1.24 x Jupiter,1.0 AU,392.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23-07-2020
BD+48 740 b,2215,1.7 Jupiters,8.699,2018,,Gas Giant,2018,1.7 Jupiters,1.2 x Jupiter,1.7 AU,2 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06-09-2018
BD+49 828 b,1460,1.6 Jupiters,9.38,2015,,Gas Giant,2015,1.6 Jupiters,1.21 x Jupiter,4.2 AU,7.1 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Beta Cancri b,295,7.8 Jupiters,3.53,2014,,Gas Giant,2014,7.8 Jupiters,1.12 x Jupiter,1.7 AU,1.7 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Beta Pictoris b,64,11 Jupiters,3.85,2008,,Gas Giant,2008,11 Jupiters,1.65 x Jupiter,9.1 AU,21 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-08-2015
Beta Pictoris c,64,9 Jupiters,3.85,2019,,Gas Giant,2019,9 Jupiters,1.12 x Jupiter,2.7 AU,3.3 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29-08-2019
Beta Ursae Minoris b,127,6.1 Jupiters,2.08,2014,,Gas Giant,2014,6.1 Jupiters,1.14 x Jupiter,1.4 AU,1.4 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
CFBDSIR J145829+101343 b,75,10.5 Jupiters,,2011,,Gas Giant,2011,10.5 Jupiters,1.11 x Jupiter,2.6 AU,27.5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
CHXR 73 b,623,12.569 Jupiters,17.293,2006,,Gas Giant,2006,12.569 Jupiters,1.1 x Jupiter,210.0 AU,5146.9 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
CI Tauri b,515,11.6 Jupiters,12.939,2019,,Gas Giant,2019,11.6 Jupiters,1.11 x Jupiter,Unknown,9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27-06-2019
CoRoT-10 b,1125,2.75 Jupiters,15.22,2010,,Gas Giant,2010,2.75 Jupiters,0.97 x Jupiter,0.1055 AU,13.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
CoRoT-11 b,1827,2.33 Jupiters,12.939,2010,,Gas Giant,2010,2.33 Jupiters,1.43 x Jupiter,0.0436 AU,3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
CoRoT-12 b,3751,0.917 Jupiters,15.515,2010,,Gas Giant,2010,0.917 Jupiters,1.44 x Jupiter,0.04016 AU,2.8 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
CoRoT-13 b,3458,1.308 Jupiters,15.039,2010,,Gas Giant,2010,1.308 Jupiters,0.885 x Jupiter,0.051 AU,4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
CoRoT-14 b,4371,7.6 Jupiters,16.033,2010,,Gas Giant,2010,7.6 Jupiters,1.09 x Jupiter,0.027 AU,1.5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
CoRoT-16 b,2740,0.535 Jupiters,15.63,2011,,Gas Giant,2011,0.535 Jupiters,1.17 x Jupiter,0.0618 AU,5.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
CoRoT-17 b,3001,2.43 Jupiters,15.46,2011,,Gas Giant,2011,2.43 Jupiters,1.02 x Jupiter,0.0461 AU,3.8 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
CoRoT-18 b,2838,3.47 Jupiters,15,2011,,Gas Giant,2011,3.47 Jupiters,1.31 x Jupiter,0.0295 AU,1.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
CoRoT-19 b,2512,1.11 Jupiters,14.007,2011,,Gas Giant,2011,1.11 Jupiters,1.29 x Jupiter,0.0518 AU,3.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
CoRoT-1 b,2627,1.03 Jupiters,13.6,2008,,Gas Giant,2008,1.03 Jupiters,1.49 x Jupiter,0.02752 AU,1.5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
CoRoT-20 b,2819,4.3 Jupiters,14.66,2011,,Gas Giant,2011,4.3 Jupiters,0.84 x Jupiter,0.09 AU,9.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
CoRoT-20 c,2819,17 Jupiters,14.66,2018,,Gas Giant,2018,17 Jupiters,1.09 x Jupiter,2.9 AU,4.6 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19-07-2018
CoRoT-21 b,4563,2.26 Jupiters,16,2012,,Gas Giant,2012,2.26 Jupiters,1.3 x Jupiter,0.0417 AU,2.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19-07-2018
CoRoT-22 b,1931,12.2 Earths,13.944,2014,,Neptune-like,2014,12.2 Earths,0.435 x Jupiter,0.092 AU,9.8 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06-12-2018
CoRoT-23 b,1957,2.8 Jupiters,15.63,2011,,Gas Giant,2011,2.8 Jupiters,1.05 x Jupiter,0.048 AU,3.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21-08-2014
CoRoT-24 b,1957,5.7 Earths,15.18,2014,,Neptune-like,2014,5.7 Earths,0.33 x Jupiter,0.056 AU,5.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
